Time resolution is 1 ps
clock_counter=          x, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=          0, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=          1, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=          2, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=          3, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=          4, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=          5, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=          6, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=          7, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=          8, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=          9, di_re=xxxxxxxxxxxxxx, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         10, di_re=01111111111111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         11, di_re=01111111111111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         12, di_re=01111111111110, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         13, di_re=01111111111101, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         14, di_re=01111111111100, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         15, di_re=01111111111011, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         16, di_re=01111111111001, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
clock_counter=         17, di_re=01111111110111, do_re=xxxxxxxxxxxxxx, do_im=xxxxxxxxxxxxxx
